Compound_ID,Smiles,Activity_Label
JM9B02125-8h,O=C1N2[C@H](CN3C=C(C4CCN(C(C(F)(F)F)=O)CC4)N=N3)CC[C@@H](N1OS(=O)(O)=O)C2,0
JM9B02125-8i,O=C1N2[C@H](CN3C=C(C4=CC=C(NC(CCNC(C(F)(F)F)=O)=O)C=C4)N=N3)CC[C@@H](N1OS(=O)(O)=O)C2,0
JM9B02125-10a,O=C1N2[C@H](CN3N=CC=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM9B02125-10b,O=C1N2[C@H](CN3C=CN=N3)CC[C@@H](N1OS(=O)(O[Na])=O)C2,0
JM5C02230-1,OB1COC2=CC=C(CN3C=CC=N3)C(C(O)=O)=C2O1,1
JM5C02230-2,OB1COC2=CC=C(CN3C=C(F)C=N3)C(C(O)=O)=C2O1,1
JM5C02230-3,OB1COC2=CC=C(CN3C=C(C)C=N3)C(C(O)=O)=C2O1,1
JM5C02230-4,OB1COC2=CC=C(CN3C=C(C(F)(F)F)C=N3)C(C(O)=O)=C2O1,1
JM5C02230-5,OB1COC2=CC=C(CN3C=C(C(C)(C)C)C=N3)C(C(O)=O)=C2O1,1
JM5C02230-6,OB1COC2=CC=C(CN3C=C([N+]([O-])=O)C=N3)C(C(O)=O)=C2O1,1
JM5C02230-7,OB1COC2=CC=C(CN3C=C(C#N)C=N3)C(C(O)=O)=C2O1,1
JM5C02230-8,OB1COC2=CC=C(CN3C=C(C(N)=O)C=N3)C(C(O)=O)=C2O1,1
JM5C02230-9,OB1COC2=CC=C(CN3C=C(OCC)C=N3)C(C(O)=O)=C2O1,1
JM5C02230-10,OB1COC2=CC=C(CN3C=C(OC4CCC4)C=N3)C(C(O)=O)=C2O1,1
JM5C02230-11,OB1COC2=CC=C(CN3C=C(OC4COC4)C=N3)C(C(O)=O)=C2O1,1
JM5C02230-12,OB1COC2=CC=C(CN3N=CC=N3)C(C(O)=O)=C2O1,1
JM5C02230-13,OB1COC2=CC=C(CN3C=C(C4=CSC=C4)N=N3)C(C(O)=O)=C2O1,1
JM5C02230-14,OB1COC2=CC=C(CN3C=C(C4=CC=CS4)N=N3)C(C(O)=O)=C2O1,1
JM5C02230-15,OB1COC2=CC=C(CN3C=C(C4=CC=CC=C4)N=N3)C(C(O)=O)=C2O1,1
JM5C02230-16,OB1COC2=CC=C(CN3C=C(CC4=CC=CC=C4)N=N3)C(C(O)=O)=C2O1,1
JM5C02230-17,OB1COC2=CC=C(CN3C=C(C4=CC=C(N)C=C4)N=N3)C(C(O)=O)=C2O1.Cl,1
JM5C02230-18,OB1COC2=CC=C(CN3C=C(C4=CC=C(CN)C=C4)N=N3)C(C(O)=O)=C2O1.Cl,0
JM5C02230-19,OB1COC2=CC=C(CN3C=C(C4=CC(CN)=CC=C4)N=N3)C(C(O)=O)=C2O1.Cl,1
JM5C02230-20,OB1COC2=CC=C(CN3C=C(C4=C(CN)C=CC=C4)N=N3)C(C(O)=O)=C2O1.Cl,1
JM5C02230-21,OB1COC2=CC=C(CN3C=C(C4=CC=C(CCN)C=C4)N=N3)C(C(O)=O)=C2O1.Cl,1
JM5C02230-22,OB1COC2=CC=C(CN3C=C(CN)C=N3)C(C(O)=O)=C2O1.Cl,1
JM5C02230-23,OB1COC2=CC=C(CN3C=C(OCCN)C=N3)C(C(O)=O)=C2O1.Cl,1
JM5C02230-24,OB1COC2=CC=C(CN3C=C(OC4CNC4)C=N3)C(C(O)=O)=C2O1.Cl,0
